Paises;Sum of deaths;health expend_2019;health expend_2020;TotalPop;Deaths_pc
Afghanistan;1971;7.423.410.797;8.028.805.542;38041757;5,18E-05
Albania;1003;0;0;2862427;0,000350402
Algeria;2596;2.505.607.758;2.148.517.914;43053054;6,03E-05
Andorra;79;3.061.790.527;3.336.917.725;76177;0,001037058
Angola;371;6.937.934.113;5.074.262.238;31825299;1,17E-05
Anguilla;0;Na;Na;14872;0
Antigua and Barbuda;4;8.015.438.232;8.303.395.386;97115;4,12E-05
Argentina;40766;9.585.234.985;8.637.144.165;44780675;0,000910348
Armenia;2503;5.494.743.652;551.543.396;2957728;0,000846258
Aruba;46;Na;Na;106310;0,000432697
Australia;908;5.555.374.023;5.901.106.445;25203200;3,60E-05
Austria;4400;5.262.054.199;5.585.088.379;8858775;0,000496683
Azerbaijan;1922;1.917.555.237;1.912.273.102;10047719;0,000191287
Bahamas;163;1.921.127.075;1.850.996.216;389486;0,0004185
Bahrain;348;99.647.229;9.787.481.079;1641164;0,000212045
Bangladesh;7052;4.766.782.379;5.066.413.116;163046173;4,33E-05
Barbados;7;1.171.256.226;1.199.712.036;287021;2,44E-05
Belarus;1263;3.902.497.253;4.080.947.266;9452409;0,000133617
Belgium;17951;4.983.656.738;5.009.455.078;11455519;0,001567018
Belize;195;303.533.905;277.990.387;390351;0,00049955
Benin;44;2.717.067.146;3.212.714.767;11801151;3,73E-06
Bermuda;9;Na;Na;62508;0,000143982
Bhutan;0;1.153.208.084;1.337.031.403;763094;0
Bolivia;9018;2.391.754.456;2.411.182.251;11513102;0,000783282
Bonaire, Saint Eustatius and Saba;3;Na;Na;25983;0,00011546
Bosnia and Herzegovina;3336;5.439.828.491;5.914.064.331;3300998;0,001010603
Botswana;37;4.088.959.961;3.627.345.276;2303703;1,61E-05
Brazil;181402;8.504.328.613;7.007.127.075;211049519;0,000859523
British_Virgin_Islands;1;Na;Na;30033;3,33E-05
Brunei Darussalam;3;6.746.516.113;6.504.782.105;433296;6,92E-06
Bulgaria;5688;6.978.963.623;8.567.045.288;7000039;0,000812567
